0,0.000006,(0:2048),1457990521.313360,1457990521.313366
1,0.000171,(0:2048),1457994669.362131,1457994669.362302
2,0.000119,(0:2048),1457994669.371231,1457994669.371350
4,0.000168,(0:2048),1457994669.380194,1457994669.380362
8,0.000229,(0:2048),1457994669.389653,1457994669.389882
16,0.000638,(0:2048),1457994669.399800,1457994669.400438
32,0.001079,(0:2048),1457994669.411844,1457994669.412923
64,0.002918,(0:2048),1457994669.426207,1457994669.429125
128,0.005280,(0:2048),1457994669.447260,1457994669.452540
