0,0.000004,1457990521.390648,1457990521.390652
1,0.000106,1457994669.473290,1457994669.473396
2,0.000113,1457994669.482418,1457994669.482531
4,0.000147,1457994669.491852,1457994669.491999
8,0.000265,1457994669.501558,1457994669.501823
16,0.000682,1457994669.511925,1457994669.512607
32,0.001061,1457994669.524140,1457994669.525201
64,0.002329,1457994669.539510,1457994669.541839
128,0.005432,1457994669.562857,1457994669.568289
