0,0.000007,(0:1024),1457990521.311596,1457990521.311603
1,0.000147,(0:1024),1457994669.359486,1457994669.359633
2,0.000160,(0:1024),1457994669.368981,1457994669.369141
4,0.000244,(0:1024),1457994669.377816,1457994669.378060
8,0.000268,(0:1024),1457994669.387174,1457994669.387442
16,0.000595,(0:1024),1457994669.397012,1457994669.397607
32,0.001863,(0:1024),1457994669.407834,1457994669.409697
64,0.002388,(0:1024),1457994669.421746,1457994669.424134
128,0.004689,(0:1024),1457994669.440385,1457994669.445074
