0,0.000003,(0:1024),1457990521.387645,1457990521.387648
1,0.000105,(0:1024),1457994669.468601,1457994669.468706
2,0.000140,(0:1024),1457994669.477718,1457994669.477858
4,0.000168,(0:1024),1457994669.487032,1457994669.487200
8,0.000279,(0:1024),1457994669.496583,1457994669.496862
16,0.000486,(0:1024),1457994669.506416,1457994669.506902
32,0.001075,(0:1024),1457994669.517729,1457994669.518804
64,0.002331,(0:1024),1457994669.530549,1457994669.532880
128,0.005328,(0:1024),1457994669.548521,1457994669.553849
