0,0.000006,(0:2048),1457990521.235699,1457990521.235705
1,0.000152,(0:2048),1457994669.254574,1457994669.254726
2,0.000113,(0:2048),1457994669.263267,1457994669.263380
4,0.000168,(0:2048),1457994669.272402,1457994669.272570
8,0.000413,(0:2048),1457994669.281806,1457994669.282219
16,0.000554,(0:2048),1457994669.291671,1457994669.292225
32,0.001104,(0:2048),1457994669.304009,1457994669.305113
64,0.002366,(0:2048),1457994669.318217,1457994669.320583
128,0.004740,(0:2048),1457994669.338704,1457994669.343444
