1,0.000079,(0:1024),1457979999.939234,1457979999.939313
2,0.000140,(0:1024),1457980001.404331,1457980001.404471
4,0.000171,(0:1024),1457980002.909094,1457980002.909265
8,0.000348,(0:1024),1457980004.392362,1457980004.392710
16,0.000576,(0:1024),1457980005.864008,1457980005.864584
32,0.000627,(0:1024),1457980007.366694,1457980007.367321
64,0.001207,(0:1024),1457980008.864873,1457980008.866080
128,0.002731,(0:1024),1457980010.361843,1457980010.364574
