0,0.000006,(0:8192),1457990521.315974,1457990521.315980
1,0.000189,(0:8192),1457994669.366663,1457994669.366852
2,0.000117,(0:8192),1457994669.375740,1457994669.375857
4,0.000150,(0:8192),1457994669.384881,1457994669.385031
8,0.000248,(0:8192),1457994669.394590,1457994669.394838
16,0.000497,(0:8192),1457994669.405206,1457994669.405703
32,0.001120,(0:8192),1457994669.418418,1457994669.419538
64,0.002341,(0:8192),1457994669.435838,1457994669.438179
128,0.004768,(0:8192),1457994669.461675,1457994669.466443
