0,0.000003,(0:2048),1457990521.389268,1457990521.389271
1,0.000147,(0:2048),1457994669.471023,1457994669.471170
2,0.000126,(0:2048),1457994669.480143,1457994669.480269
4,0.000174,(0:2048),1457994669.489498,1457994669.489672
8,0.000310,(0:2048),1457994669.499055,1457994669.499365
16,0.000512,(0:2048),1457994669.509156,1457994669.509668
32,0.001162,(0:2048),1457994669.520795,1457994669.521957
64,0.002306,(0:2048),1457994669.535077,1457994669.537383
128,0.004696,(0:2048),1457994669.555990,1457994669.560686
