0,0.000003,(0:8192),1457990521.391966,1457990521.391969
1,0.000121,(0:8192),1457994669.475500,1457994669.475621
2,0.000117,(0:8192),1457994669.484728,1457994669.484845
4,0.000144,(0:8192),1457994669.494165,1457994669.494309
8,0.000227,(0:8192),1457994669.503941,1457994669.504168
16,0.000488,(0:8192),1457994669.514868,1457994669.515356
32,0.001170,(0:8192),1457994669.527279,1457994669.528449
64,0.002286,(0:8192),1457994669.544008,1457994669.546294
128,0.004773,(0:8192),1457994669.570599,1457994669.575372
