0,0.000006,(0:4096),1457990521.314725,1457990521.314731
1,0.000112,(0:4096),1457994669.364385,1457994669.364497
2,0.000115,(0:4096),1457994669.373514,1457994669.373629
4,0.000179,(0:4096),1457994669.382612,1457994669.382791
8,0.000262,(0:4096),1457994669.392159,1457994669.392421
16,0.000525,(0:4096),1457994669.402555,1457994669.403080
32,0.001106,(0:4096),1457994669.415141,1457994669.416247
64,0.002305,(0:4096),1457994669.431306,1457994669.433611
128,0.004711,(0:4096),1457994669.454752,1457994669.459463
