337585,15769966644273,15769967913492,1269219,0
337586, 15769967038762,15769967091896 ,53134,394489
337587, 15769967079805,15769967176785 ,96980,435532
337588, 15769967081492,15769967160723 ,79231,437219
337589, 15769967093175,15769967164371 ,71196,448902
337590, 15769967103407,15769967189964 ,86557,459134
337591, 15769967134259,15769967184588 ,50329,489986
337592, 15769967128813,15769967182617 ,53804,484540
337593, 15769967207365,15769967224695 ,17330,563092
337594, 15769967223429,15769967242083 ,18654,579156
337595, 15769967234824,15769967250531 ,15707,590551
337596, 15769967246051,15769967264831 ,18780,601778
337597, 15769967260461,15769967273749 ,13288,616188
337598, 15769967274394,15769967288741 ,14347,630121
337599, 15769967282624,15769967300906 ,18282,638351
337600, 15769967298202,15769967312199 ,13997,653929
337601, 15769967310291,15769967324329 ,14038,666018
337602, 15769967320298,15769967333597 ,13299,676025
337603, 15769967333913,15769967346404 ,12491,689640
337604, 15769967345613,15769967358948 ,13335,701340
337605, 15769967355892,15769967369511 ,13619,711619
337606, 15769967368736,15769967382265 ,13529,724463
337607, 15769967379351,15769967394366 ,15015,735078
337608, 15769967392282,15769967407012 ,14730,748009
337609, 15769967402955,15769967416794 ,13839,758682
337610, 15769967415813,15769967433029 ,17216,771540
337611, 15769967425653,15769967440097 ,14444,781380
337612, 15769967439223,15769967451649 ,12426,794950
337613, 15769967451105,15769967464504 ,13399,806832
337614, 15769967461671,15769967476141 ,14470,817398
337615, 15769967473378,15769967487820 ,14442,829105
337616, 15769967484963,15769967498614 ,13651,840690
337617, 15769967497786,15769967512085 ,14299,853513
