340754,15795068022068,15795070425254,2403186,0
340755, 15795069367971,15795069461656 ,93685,1345903
340756, 15795069385237,15795069513218 ,127981,1363169
340757, 15795069399578,15795069523563 ,123985,1377510
340758, 15795069404773,15795069499309 ,94536,1382705
340759, 15795069427665,15795069499363 ,71698,1405597
340760, 15795069520034,15795069545897 ,25863,1497966
340761, 15795069543891,15795069566716 ,22825,1521823
340762, 15795069566824,15795069588424 ,21600,1544756
340763, 15795069587225,15795069607327 ,20102,1565157
340764, 15795069606438,15795069626963 ,20525,1584370
340765, 15795069625405,15795069645096 ,19691,1603337
340766, 15795069643912,15795069660630 ,16718,1621844
340767, 15795069659629,15795069673218 ,13589,1637561
340768, 15795069672427,15795069684908 ,12481,1650359
340769, 15795069684103,15795069696857 ,12754,1662035
340770, 15795069696565,15795069712023 ,15458,1674497
340771, 15795069707445,15795069720853 ,13408,1685377
340772, 15795069721240,15795069734979 ,13739,1699172
340773, 15795069730812,15795069743676 ,12864,1708744
340774, 15795069744594,15795069759235 ,14641,1722526
340775, 15795069754150,15795069767469 ,13319,1732082
340776, 15795069767740,15795069780025 ,12285,1745672
340777, 15795069776932,15795069790300 ,13368,1754864
340778, 15795069789381,15795069802013 ,12632,1767313
340779, 15795069801064,15795069816548 ,15484,1778996
340780, 15795069811498,15795069826873 ,15375,1789430
340781, 15795069825978,15795069838061 ,12083,1803910
340782, 15795069837433,15795069851038 ,13605,1815365
340783, 15795069850242,15795069863294 ,13052,1828174
340784, 15795069860434,15795069873508 ,13074,1838366
340785, 15795069872672,15795069886204 ,13532,1850604
340786, 15795069885391,15795069899012 ,13621,1863323
